n_basicN_ali
n_amine_prim
n_amine_sec
n_amine_tert
n_amidine
n_guanidine
n_pyridineN
n_imidazoleN
n_anilineN
n_amideN
n_morpholine
n_piperazine
n_piperidine
n_acid
n_tetrazole
n_sulfonamide
pka_max_basic
frac_prot_74
is_base_74
n_basic_sites
topo_bN_to_arom_min
topo_bN_to_arom_mean
n_bN_geom
topo_mbc_to_arom
pharm_2d6
pharm_2d6_x_prot
formal_charge
ph74_net_charge
ph74_n_cation
ph74_n_anion
