файл,рука,сидов,1A2,2C9,2D6,3A4,МАКРО,выше пола,ниже пола,скрыто макро
pre_ibm_molformer_xl_both_10pct,база + эмбеддинг,1,-0.03522501448899018,-0.01735066627900006,-0.022257996361957577,-0.030926665429492073,-0.026440085639859973,0,4,False
poolwhy,"пул, глубина 5",1,-0.021050410032148192,-0.044828600299165355,-0.01763940532066105,-0.023331449905593327,-0.02671246638939198,0,4,False
pre_deepchem_chemberta_77m_mtr,база + эмбеддинг-64,1,-0.006965887680458083,0.0024241797679960264,-0.00542209529178328,-0.008872970633676647,-0.004709193459480496,0,3,False
pool_nomech,пул,1,0.026528312522610842,0.0037829850111332775,0.03372042574086037,-0.004446535958528619,0.014896296829018968,2,1,False
pre_ibm_molformer_xl_both_10pct,эмбеддинг один,1,-0.11559074178297674,-0.11439071133761575,-0.1545028797831315,-0.1278616758307326,-0.12808650218361414,0,4,False
pool_all,пул,4,0.015666848011624768,0.007090177236474621,0.03742858310937815,-0.005660242966975176,0.01363134134762559,2,1,False
pool123,пул,3,0.01666999201335656,0.007547559437148836,0.035868424602923575,-0.006259958139037014,0.013456504478597989,3,1,False
seeds,FP+DESC,3,0.0021469447620137507,-0.015139910549742286,-0.043231759517931324,-0.0007846501214907967,-0.014252343856787664,0,2,False
pool,пул,1,0.01265741600642939,0.005718030634451976,0.04210905862874187,-0.0038610974507896634,0.014155851954708393,2,1,False
pre_deepchem_chemberta_77m_mtr,эмбеддинг один,1,-0.1433534898917097,-0.14978174520922782,-0.09536671543978231,-0.12271198662706817,-0.127803484291947,0,4,False
pre_deepchem_chemberta_77m_mtr,база + эмбеддинг,1,-0.026218679529843858,-0.006514864360683381,-0.020564514326720185,-0.013455171954541711,-0.016688307542947284,0,3,False
poolwhy,"независимо, листья 31",1,-0.004059628309204977,-0.004121077328020473,-0.00891737485430133,0.0024519415334686157,-0.003661534739514541,0,1,False
acid,с кислотами,4,0.001217017424849337,-0.0023058381254865423,-0.002472536206647946,-0.0005779289693432221,-0.0010348214691570934,0,0,False
